Type,Subcarrier Spacing,Symbol time,Subcarriers FFT,CP length,Average Received Power (mW),Threshold,SNR,Average Signal Power,Average Noise Power
Clean,976.562,0.001024,256,64,0.0472292,0,16.4875,-18.9612,-35.4487
Clean,3906.25,0.000256,64,64,0.0554086,0,16.7195,-19.0825,-35.8021
Clean,244.141,0.004096,1024,64,0.0484495,0,13.5636,-18.8403,-32.4039
Clean,488.281,0.002048,512,64,0.1946,0,14.049,-18.8097,-32.8587
Clean,488.281,0.002048,512,64,0.0566096,0,14.4117,-18.9871,-33.3987
Clean,488.281,0.002048,512,64,0.0474912,0,14.5853,-19.02,-33.6053
Clean,976.562,0.001024,256,64,0.0762173,0,14.8711,-19.0604,-33.9315
Clean,488.281,0.002048,512,64,0.194954,0,14.1401,-18.9154,-33.0554
Clean,244.141,0.004096,1024,64,0.0406929,0,14.4367,-19.0023,-33.439
Clean,244.141,0.004096,1024,64,0.0518343,0,14.5421,-19.0287,-33.5707
Clean,488.281,0.002048,512,64,0.0471127,0,14.7519,-19.0796,-33.8315
Clean,488.281,0.002048,512,64,0.0252773,0,14.3626,-19.0628,-33.4255
Clean,244.141,0.004096,1024,64,0.158089,0,14.4671,-19.1147,-33.5818
Clean,488.281,0.002048,512,64,0.0238622,0,14.6696,-19.1998,-33.8694
Clean,488.281,0.002048,512,64,0.0246158,0,14.8518,-19.2789,-34.1307
Clean,976.562,0.001024,256,64,0.161205,0,14.9754,-19.3119,-34.2873
Clean,488.281,0.002048,512,64,0.0240208,0,14.8186,-19.3059,-34.1245
Clean,488.281,0.002048,512,64,0.02919,0,14.9867,-19.3613,-34.348
Clean,488.281,0.002048,512,64,0.0244427,0,15.0818,-19.3859,-34.4676
Clean,488.281,0.002048,512,64,0.16495,0,15.1588,-19.4097,-34.5685
Clean,488.281,0.002048,512,64,0.0222394,0,15.2879,-19.46,-34.7479
Clean,488.281,0.002048,512,64,0.0254416,0,15.3146,-19.47,-34.7846
Clean,488.281,0.002048,512,64,0.0246345,0,15.4166,-19.4984,-34.915
Clean,488.281,0.002048,512,64,0.0730026,0,15.4799,-19.5172,-34.9971
Clean,244.141,0.004096,1024,64,0.0275144,0,15.5027,-19.515,-35.0176
Clean,488.281,0.002048,512,64,0.0391011,0,15.608,-19.5351,-35.143
Clean,244.141,0.004096,1024,64,0.026168,0,15.6708,-19.5418,-35.2125
Clean,244.141,0.004096,1024,64,0.0336954,0,15.7786,-19.5646,-35.3432
Clean,976.562,0.001024,256,64,0.0233789,0,15.8113,-19.5723,-35.3837
Clean,7812.5,0.000128,32,8,0.0238368,0,15.8789,-19.5989,-35.4778
Clean,488.281,0.002048,512,64,0.0924953,0,15.9156,-19.5987,-35.5144
Clean,488.281,0.002048,512,64,0.129091,0,15.9391,-19.5819,-35.5211
Clean,244.141,0.004096,1024,64,0.072102,0,15.9607,-19.5588,-35.5195
Clean,244.141,0.004096,1024,64,0.0421641,0,16.0036,-19.5571,-35.5607
Clean,244.141,0.004096,1024,64,0.042172,0,16.0023,-19.54,-35.5423
Clean,244.141,0.004096,1024,64,0.141523,0,15.9782,-19.5026,-35.4808
Clean,488.281,0.002048,512,32,0.0366969,0,16.0521,-19.5044,-35.5565
Clean,488.281,0.002048,512,64,0.033237,0,16.0867,-19.5065,-35.5933
Clean,244.141,0.004096,1024,64,0.0405189,0,16.0904,-19.4952,-35.5856
Clean,488.281,0.002048,512,64,0.0343144,0,16.1138,-19.4784,-35.5922
Clean,488.281,0.002048,512,64,0.0571538,0,16.151,-19.494,-35.645
Clean,3906.25,0.000256,64,8,0.029967,0,16.1805,-19.5074,-35.6879
Clean,15625,6.40E-05,16,32,0.0229282,0,16.2468,-19.5311,-35.7779
Clean,244.141,0.004096,1024,64,0.0223557,0,16.2767,-19.5418,-35.8185
Clean,976.562,0.001024,256,64,0.0259135,0,16.2487,-19.5488,-35.7975
Clean,3906.25,0.000256,64,32,0.0199741,0,16.3051,-19.5774,-35.8825
Clean,488.281,0.002048,512,64,0.0226081,0,16.365,-19.5983,-35.9633
Clean,488.281,0.002048,512,64,0.0221401,0,16.3911,-19.6095,-36.0006
Clean,488.281,0.002048,512,64,0.023783,0,16.4106,-19.6189,-36.0295
Clean,488.281,0.002048,512,32,0.0218586,0,16.447,-19.6363,-36.0833
Clean,244.141,0.004096,1024,64,0.0480286,0,16.4656,-19.6395,-36.1051
Clean,488.281,0.002048,512,64,0.143884,0,16.4158,-19.6185,-36.0343
Clean,488.281,0.002048,512,64,0.157702,0,16.2844,-19.5765,-35.8609
Clean,244.141,0.004096,1024,64,0.0588322,0,16.314,-19.5787,-35.8927
Clean,244.141,0.004096,1024,64,0.0700116,0,16.2973,-19.5679,-35.8652
Clean,488.281,0.002048,512,64,0.142008,0,16.2064,-19.5421,-35.7485
Clean,976.562,0.001024,256,32,0.0405948,0,16.2292,-19.5371,-35.7663
Clean,488.281,0.002048,512,64,0.0521714,0,16.2457,-19.5365,-35.7821
Clean,488.281,0.002048,512,64,0.0539008,0,16.2623,-19.5298,-35.7921
Clean,244.141,0.004096,1024,64,0.0684118,0,16.2814,-19.5245,-35.8059
Clean,488.281,0.002048,512,64,0.0348662,0,16.2732,-19.5293,-35.8026
Clean,244.141,0.004096,1024,64,0.0221585,0,16.2943,-19.5403,-35.8346
Clean,244.141,0.004096,1024,64,0.0243462,0,16.3396,-19.5557,-35.8953
